test_size,seg_len,overlap,lr,epochs,accuracy
0.2,200.0,0.5,0.0002,130.0,0.8466435185185185
0.3,200.0,0.5,0.0002,130.0,0.8549382716049383
0.4,200.0,0.5,0.0002,130.0,0.8489583333333334
0.2,300.0,0.5,0.0002,130.0,0.8723958333333334
0.3,300.0,0.5,0.0002,130.0,0.8628472222222222
0.4,300.0,0.5,0.0002,130.0,0.8489583333333334
0.2,400.0,0.5,0.0002,130.0,0.8599537037037037
0.3,400.0,0.5,0.0002,130.0,0.8641975308641975
0.4,400.0,0.5,0.0002,130.0,0.8541666666666666
0.2,512.0,0.5,0.0002,130.0,0.8725925925925926
0.3,512.0,0.5,0.0002,130.0,0.8558736426456071
0.4,512.0,0.5,0.0002,130.0,0.8548148148148148
MEAN,,,,,0.8580283719694384
BEST,512.0,,,,0.8725925925925926
WORST,200.0,,,,0.8466435185185185
